Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Not stated AEP,Devon & Cornwall ,Less lethal weapons,AEP: Not stated,White,23.0
*Total Firearms,Devon & Cornwall ,Firearms,Total: Firearms,White,85.0
*Total Other,Devon & Cornwall ,Other,Total: Other,White,130.0
"Dog use, of which",Devon & Cornwall ,Other,Total: Dog,White,29.0
Dog deployed,Devon & Cornwall ,Other,Dog: deployed,White,2.0
Dog bite,Devon & Cornwall ,Other,Dog: bite,White,0.0
Not stated dog,Devon & Cornwall ,Other,Dog: not stated,White,27.0
Other / improvised,Devon & Cornwall ,Other,Other / improvised,White,101.0
*Total Not reported,Devon & Cornwall ,Not reported,Total: Not reported,White,5.0
Tactical communication,Devon & Cornwall ,Excluded: Tactical Communication,Tactical Communication,White,7988.0
*Total Tactics,Dorset,Total,Total: all,White,10254.0
*Total Restraint,Dorset,Restraint,Total: Restraint,White,8109.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,White,5531.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,White,1821.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,White,3710.0
Not stated handcuffing,Dorset,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,White,610.0
Ground restraint,Dorset,Restraint,Ground restraint,White,1968.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,White,1410.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,White,310.0
"Baton, of which",Dorset,Other equipment,Total: Baton,White,23.0
Baton drawn,Dorset,Other equipment,Baton: drawn,White,18.0
Baton used,Dorset,Other equipment,Baton: used,White,5.0
Not stated baton,Dorset,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,White,269.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,White,74.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,White,195.0
Not stated irritant spray,Dorset,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,White,18.0
Shield,Dorset,Other equipment,Shield,White,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,White,182.0
CED,Dorset,Less lethal weapons,CED,White,182.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,White,0.0
AEP aimed,Dorset,Less lethal weapons,AEP: Aimed,White,0.0
AEP fired,Dorset,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Dorset,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,White,84.0
*Total Other,Dorset,Other,Total: Other,White,159.0
"Dog use, of which",Dorset,Other,Total: Dog,White,17.0
Dog deployed,Dorset,Other,Dog: deployed,White,15.0
Dog bite,Dorset,Other,Dog: bite,White,2.0
Not stated dog,Dorset,Other,Dog: not stated,White,0.0
Other / improvised,Dorset,Other,Other / improvised,White,142.0
