Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
*Total Other equipment,Hertfordshire,Other equipment,Total: Other equipment,Mixed,32.0
"Baton, of which",Hertfordshire,Other equipment,Total: Baton,Mixed,6.0
Baton drawn,Hertfordshire,Other equipment,Baton: drawn,Mixed,5.0
Baton used,Hertfordshire,Other equipment,Baton: used,Mixed,1.0
Not stated baton,Hertfordshire,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Hertfordshire,Other equipment,Total: Irritant spray,Mixed,25.0
Irritant spray - drawn,Hertfordshire,Other equipment,Irritant spray: drawn,Mixed,14.0
Irritant spray - used,Hertfordshire,Other equipment,Irritant spray: used,Mixed,11.0
Not stated irritant spray,Hertfordshire,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Hertfordshire,Other equipment,Spit and bite guard,Mixed,1.0
Shield,Hertfordshire,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Hertfordshire,Less lethal weapons,Total: Less lethal weapons,Mixed,18.0
CED,Hertfordshire,Less lethal weapons,CED,Mixed,18.0
"AEP, of which",Hertfordshire,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Hertfordshire,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Hertfordshire,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Hertfordshire,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Hertfordshire,Firearms,Total: Firearms,Mixed,1.0
*Total Other,Hertfordshire,Other,Total: Other,Mixed,14.0
"Dog use, of which",Hertfordshire,Other,Total: Dog,Mixed,0.0
Dog deployed,Hertfordshire,Other,Dog: deployed,Mixed,0.0
Dog bite,Hertfordshire,Other,Dog: bite,Mixed,0.0
Not stated dog,Hertfordshire,Other,Dog: not stated,Mixed,0.0
Other / improvised,Hertfordshire,Other,Other / improvised,Mixed,14.0
*Total Not reported,Hertfordshire,Not reported,Total: Not reported,Mixed,2.0
Tactical communication,Hertfordshire,Excluded: Tactical Communication,Tactical Communication,Mixed,279.0
*Total Tactics,Humberside,Total,Total: all,Mixed,41.0
*Total Restraint,Humberside,Restraint,Total: Restraint,Mixed,21.0
"Handcuffing, of which",Humberside,Restraint,Total: Handcuffing,Mixed,18.0
Compliant handcuffing,Humberside,Restraint,Handcuffing: compliant,Mixed,12.0
Non-compliant handcuffing,Humberside,Restraint,Handcuffing: non-compliant,Mixed,6.0
Not stated handcuffing,Humberside,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Humberside,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Humberside,Restraint,Ground restraint,Mixed,3.0
*Total Unarmed skills,Humberside,Unarmed skills,Total: unarmed skills,Mixed,10.0
*Total Other equipment,Humberside,Other equipment,Total: Other equipment,Mixed,0.0
"Baton, of which",Humberside,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Humberside,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Humberside,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Humberside,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Humberside,Other equipment,Total: Irritant spray,Mixed,0.0
Irritant spray - drawn,Humberside,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Humberside,Other equipment,Irritant spray: used,Mixed,0.0
Not stated irritant spray,Humberside,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Humberside,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Humberside,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Humberside,Less lethal weapons,Total: Less lethal weapons,Mixed,6.0
CED,Humberside,Less lethal weapons,CED,Mixed,6.0
"AEP, of which",Humberside,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Humberside,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Humberside,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Humberside,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Humberside,Firearms,Total: Firearms,Mixed,1.0
*Total Other,Humberside,Other,Total: Other,Mixed,3.0
"Dog use, of which",Humberside,Other,Total: Dog,Mixed,0.0
Dog deployed,Humberside,Other,Dog: deployed,Mixed,0.0
Dog bite,Humberside,Other,Dog: bite,Mixed,0.0
Not stated dog,Humberside,Other,Dog: not stated,Mixed,0.0
Other / improvised,Humberside,Other,Other / improvised,Mixed,3.0
*Total Not reported,Humberside,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Humberside,Excluded: Tactical Communication,Tactical Communication,Mixed,14.0
*Total Tactics,Kent,Total,Total: all,Mixed,324.0
*Total Restraint,Kent,Restraint,Total: Restraint,Mixed,209.0
"Handcuffing, of which",Kent,Restraint,Total: Handcuffing,Mixed,158.0
Compliant handcuffing,Kent,Restraint,Handcuffing: compliant,Mixed,97.0
Non-compliant handcuffing,Kent,Restraint,Handcuffing: non-compliant,Mixed,61.0
Not stated handcuffing,Kent,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Kent,Restraint,Limb / body restraints,Mixed,21.0
Ground restraint,Kent,Restraint,Ground restraint,Mixed,30.0
*Total Unarmed skills,Kent,Unarmed skills,Total: unarmed skills,Mixed,63.0
*Total Other equipment,Kent,Other equipment,Total: Other equipment,Mixed,19.0
"Baton, of which",Kent,Other equipment,Total: Baton,Mixed,2.0
Baton drawn,Kent,Other equipment,Baton: drawn,Mixed,2.0
Baton used,Kent,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Kent,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Kent,Other equipment,Total: Irritant spray,Mixed,7.0
Irritant spray - drawn,Kent,Other equipment,Irritant spray: drawn,Mixed,5.0
Irritant spray - used,Kent,Other equipment,Irritant spray: used,Mixed,2.0
Not stated irritant spray,Kent,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Kent,Other equipment,Spit and bite guard,Mixed,5.0
Shield,Kent,Other equipment,Shield,Mixed,5.0
*Total Less lethal weapons,Kent,Less lethal weapons,Total: Less lethal weapons,Mixed,11.0
CED,Kent,Less lethal weapons,CED,Mixed,11.0
"AEP, of which",Kent,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Kent,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Kent,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Kent,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Kent,Firearms,Total: Firearms,Mixed,2.0
*Total Other,Kent,Other,Total: Other,Mixed,20.0
"Dog use, of which",Kent,Other,Total: Dog,Mixed,1.0
Dog deployed,Kent,Other,Dog: deployed,Mixed,0.0
Dog bite,Kent,Other,Dog: bite,Mixed,1.0
Not stated dog,Kent,Other,Dog: not stated,Mixed,0.0
Other / improvised,Kent,Other,Other / improvised,Mixed,19.0
*Total Not reported,Kent,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Kent,Excluded: Tactical Communication,Tactical Communication,Mixed,84.0
*Total Tactics,Lancashire,Total,Total: all,Mixed,122.0
*Total Restraint,Lancashire,Restraint,Total: Restraint,Mixed,58.0
"Handcuffing, of which",Lancashire,Restraint,Total: Handcuffing,Mixed,46.0
Compliant handcuffing,Lancashire,Restraint,Handcuffing: compliant,Mixed,25.0
Non-compliant handcuffing,Lancashire,Restraint,Handcuffing: non-compliant,Mixed,21.0
Not stated handcuffing,Lancashire,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Lancashire,Restraint,Limb / body restraints,Mixed,3.0
Ground restraint,Lancashire,Restraint,Ground restraint,Mixed,9.0
*Total Unarmed skills,Lancashire,Unarmed skills,Total: unarmed skills,Mixed,37.0
*Total Other equipment,Lancashire,Other equipment,Total: Other equipment,Mixed,18.0
"Baton, of which",Lancashire,Other equipment,Total: Baton,Mixed,2.0
Baton drawn,Lancashire,Other equipment,Baton: drawn,Mixed,1.0
Baton used,Lancashire,Other equipment,Baton: used,Mixed,1.0
Not stated baton,Lancashire,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Lancashire,Other equipment,Total: Irritant spray,Mixed,16.0
Irritant spray - drawn,Lancashire,Other equipment,Irritant spray: drawn,Mixed,8.0
Irritant spray - used,Lancashire,Other equipment,Irritant spray: used,Mixed,8.0
Not stated irritant spray,Lancashire,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Lancashire,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Lancashire,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Lancashire,Less lethal weapons,Total: Less lethal weapons,Mixed,5.0
CED,Lancashire,Less lethal weapons,CED,Mixed,5.0
"AEP, of which",Lancashire,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Lancashire,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Lancashire,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Lancashire,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Lancashire,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Lancashire,Other,Total: Other,Mixed,4.0
"Dog use, of which",Lancashire,Other,Total: Dog,Mixed,2.0
Dog deployed,Lancashire,Other,Dog: deployed,Mixed,1.0
Dog bite,Lancashire,Other,Dog: bite,Mixed,1.0
Not stated dog,Lancashire,Other,Dog: not stated,Mixed,0.0
Other / improvised,Lancashire,Other,Other / improvised,Mixed,2.0
*Total Not reported,Lancashire,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Lancashire,Excluded: Tactical Communication,Tactical Communication,Mixed,57.0
*Total Tactics,Leicestershire,Total,Total: all,Mixed,303.0
*Total Restraint,Leicestershire,Restraint,Total: Restraint,Mixed,190.0
"Handcuffing, of which",Leicestershire,Restraint,Total: Handcuffing,Mixed,179.0
Compliant handcuffing,Leicestershire,Restraint,Handcuffing: compliant,Mixed,117.0
Non-compliant handcuffing,Leicestershire,Restraint,Handcuffing: non-compliant,Mixed,62.0
Not stated handcuffing,Leicestershire,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Leicestershire,Restraint,Limb / body restraints,Mixed,10.0
Ground restraint,Leicestershire,Restraint,Ground restraint,Mixed,1.0
*Total Unarmed skills,Leicestershire,Unarmed skills,Total: unarmed skills,Mixed,60.0
*Total Other equipment,Leicestershire,Other equipment,Total: Other equipment,Mixed,7.0
"Baton, of which",Leicestershire,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Leicestershire,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Leicestershire,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Leicestershire,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Leicestershire,Other equipment,Total: Irritant spray,Mixed,4.0
Irritant spray - drawn,Leicestershire,Other equipment,Irritant spray: drawn,Mixed,2.0
Irritant spray - used,Leicestershire,Other equipment,Irritant spray: used,Mixed,2.0
Not stated irritant spray,Leicestershire,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Leicestershire,Other equipment,Spit and bite guard,Mixed,3.0
Shield,Leicestershire,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Leicestershire,Less lethal weapons,Total: Less lethal weapons,Mixed,24.0
CED,Leicestershire,Less lethal weapons,CED,Mixed,24.0
"AEP, of which",Leicestershire,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Leicestershire,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Leicestershire,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Leicestershire,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Leicestershire,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Leicestershire,Other,Total: Other,Mixed,22.0
"Dog use, of which",Leicestershire,Other,Total: Dog,Mixed,0.0
Dog deployed,Leicestershire,Other,Dog: deployed,Mixed,0.0
Dog bite,Leicestershire,Other,Dog: bite,Mixed,0.0
Not stated dog,Leicestershire,Other,Dog: not stated,Mixed,0.0
Other / improvised,Leicestershire,Other,Other / improvised,Mixed,22.0
*Total Not reported,Leicestershire,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Leicestershire,Excluded: Tactical Communication,Tactical Communication,Mixed,98.0
*Total Tactics,Lincolnshire,Total,Total: all,Mixed,76.0
*Total Restraint,Lincolnshire,Restraint,Total: Restraint,Mixed,40.0
"Handcuffing, of which",Lincolnshire,Restraint,Total: Handcuffing,Mixed,31.0
Compliant handcuffing,Lincolnshire,Restraint,Handcuffing: compliant,Mixed,18.0
Non-compliant handcuffing,Lincolnshire,Restraint,Handcuffing: non-compliant,Mixed,13.0
Not stated handcuffing,Lincolnshire,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Lincolnshire,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Lincolnshire,Restraint,Ground restraint,Mixed,9.0
*Total Unarmed skills,Lincolnshire,Unarmed skills,Total: unarmed skills,Mixed,19.0
*Total Other equipment,Lincolnshire,Other equipment,Total: Other equipment,Mixed,4.0
"Baton, of which",Lincolnshire,Other equipment,Total: Baton,Mixed,1.0
Baton drawn,Lincolnshire,Other equipment,Baton: drawn,Mixed,1.0
Baton used,Lincolnshire,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Lincolnshire,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Lincolnshire,Other equipment,Total: Irritant spray,Mixed,2.0
Irritant spray - drawn,Lincolnshire,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Lincolnshire,Other equipment,Irritant spray: used,Mixed,2.0
Not stated irritant spray,Lincolnshire,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Lincolnshire,Other equipment,Spit and bite guard,Mixed,1.0
Shield,Lincolnshire,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Lincolnshire,Less lethal weapons,Total: Less lethal weapons,Mixed,8.0
CED,Lincolnshire,Less lethal weapons,CED,Mixed,7.0
"AEP, of which",Lincolnshire,Less lethal weapons,Total: AEP,Mixed,1.0
AEP aimed,Lincolnshire,Less lethal weapons,AEP: Aimed,Mixed,1.0
AEP fired,Lincolnshire,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Lincolnshire,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Lincolnshire,Firearms,Total: Firearms,Mixed,3.0
*Total Other,Lincolnshire,Other,Total: Other,Mixed,2.0
"Dog use, of which",Lincolnshire,Other,Total: Dog,Mixed,0.0
Dog deployed,Lincolnshire,Other,Dog: deployed,Mixed,0.0
Dog bite,Lincolnshire,Other,Dog: bite,Mixed,0.0
Not stated dog,Lincolnshire,Other,Dog: not stated,Mixed,0.0
Other / improvised,Lincolnshire,Other,Other / improvised,Mixed,2.0
*Total Not reported,Lincolnshire,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Lincolnshire,Excluded: Tactical Communication,Tactical Communication,Mixed,35.0
*Total Tactics,Merseyside,Total,Total: all,Mixed,0.0
*Total Restraint,Merseyside,Restraint,Total: Restraint,Mixed,0.0
"Handcuffing, of which",Merseyside,Restraint,Total: Handcuffing,Mixed,0.0
Compliant handcuffing,Merseyside,Restraint,Handcuffing: compliant,Mixed,0.0
Non-compliant handcuffing,Merseyside,Restraint,Handcuffing: non-compliant,Mixed,0.0
Not stated handcuffing,Merseyside,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Merseyside,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Merseyside,Restraint,Ground restraint,Mixed,0.0
*Total Unarmed skills,Merseyside,Unarmed skills,Total: unarmed skills,Mixed,0.0
*Total Other equipment,Merseyside,Other equipment,Total: Other equipment,Mixed,0.0
"Baton, of which",Merseyside,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Merseyside,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Merseyside,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Merseyside,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Merseyside,Other equipment,Total: Irritant spray,Mixed,0.0
Irritant spray - drawn,Merseyside,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Merseyside,Other equipment,Irritant spray: used,Mixed,0.0
Not stated irritant spray,Merseyside,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Merseyside,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Merseyside,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Merseyside,Less lethal weapons,Total: Less lethal weapons,Mixed,0.0
CED,Merseyside,Less lethal weapons,CED,Mixed,0.0
"AEP, of which",Merseyside,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Merseyside,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Merseyside,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Merseyside,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Merseyside,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Merseyside,Other,Total: Other,Mixed,0.0
"Dog use, of which",Merseyside,Other,Total: Dog,Mixed,0.0
Dog deployed,Merseyside,Other,Dog: deployed,Mixed,0.0
Dog bite,Merseyside,Other,Dog: bite,Mixed,0.0
Not stated dog,Merseyside,Other,Dog: not stated,Mixed,0.0
Other / improvised,Merseyside,Other,Other / improvised,Mixed,0.0
*Total Not reported,Merseyside,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Merseyside,Excluded: Tactical Communication,Tactical Communication,Mixed,0.0
*Total Tactics,Metropolitan,Total,Total: all,Mixed,5300.0
*Total Restraint,Metropolitan,Restraint,Total: Restraint,Mixed,3739.0
"Handcuffing, of which",Metropolitan,Restraint,Total: Handcuffing,Mixed,2908.0
Compliant handcuffing,Metropolitan,Restraint,Handcuffing: compliant,Mixed,1989.0
Non-compliant handcuffing,Metropolitan,Restraint,Handcuffing: non-compliant,Mixed,919.0
Not stated handcuffing,Metropolitan,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Metropolitan,Restraint,Limb / body restraints,Mixed,273.0
Ground restraint,Metropolitan,Restraint,Ground restraint,Mixed,558.0
*Total Unarmed skills,Metropolitan,Unarmed skills,Total: unarmed skills,Mixed,994.0
*Total Other equipment,Metropolitan,Other equipment,Total: Other equipment,Mixed,139.0
"Baton, of which",Metropolitan,Other equipment,Total: Baton,Mixed,75.0
Baton drawn,Metropolitan,Other equipment,Baton: drawn,Mixed,54.0
Baton used,Metropolitan,Other equipment,Baton: used,Mixed,21.0
Not stated baton,Metropolitan,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Metropolitan,Other equipment,Total: Irritant spray,Mixed,34.0
Irritant spray - drawn,Metropolitan,Other equipment,Irritant spray: drawn,Mixed,25.0
Irritant spray - used,Metropolitan,Other equipment,Irritant spray: used,Mixed,9.0
Not stated irritant spray,Metropolitan,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Metropolitan,Other equipment,Spit and bite guard,Mixed,25.0
Shield,Metropolitan,Other equipment,Shield,Mixed,5.0
*Total Less lethal weapons,Metropolitan,Less lethal weapons,Total: Less lethal weapons,Mixed,214.0
CED,Metropolitan,Less lethal weapons,CED,Mixed,214.0
"AEP, of which",Metropolitan,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Metropolitan,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Metropolitan,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Metropolitan,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Metropolitan,Firearms,Total: Firearms,Mixed,47.0
*Total Other,Metropolitan,Other,Total: Other,Mixed,167.0
"Dog use, of which",Metropolitan,Other,Total: Dog,Mixed,24.0
Dog deployed,Metropolitan,Other,Dog: deployed,Mixed,14.0
Dog bite,Metropolitan,Other,Dog: bite,Mixed,10.0
Not stated dog,Metropolitan,Other,Dog: not stated,Mixed,0.0
Other / improvised,Metropolitan,Other,Other / improvised,Mixed,143.0
*Total Not reported,Metropolitan,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Metropolitan,Excluded: Tactical Communication,Tactical Communication,Mixed,1081.0
*Total Tactics,Norfolk,Total,Total: all,Mixed,0.0
*Total Restraint,Norfolk,Restraint,Total: Restraint,Mixed,0.0
"Handcuffing, of which",Norfolk,Restraint,Total: Handcuffing,Mixed,0.0
Compliant handcuffing,Norfolk,Restraint,Handcuffing: compliant,Mixed,0.0
